lambda,size_counts
0.873,"{817565.0: 1.0, 1.0: 155920.0, 4.0: 1896.0, 2.0: 5844.0, 3.0: 1163.0, 9.0: 193.0, 7.0: 27.0, 8.0: 19.0, 5.0: 135.0, 6.0: 67.0, 10.0: 4.0, 13.0: 4.0, 11.0: 4.0, 28.0: 1.0, 52.0: 1.0, 12.0: 2.0, 15.0: 2.0, 23.0: 1.0, 17.0: 2.0, 16.0: 1.0, 30.0: 3.0, 31.0: 1.0, 62.0: 1.0, 14.0: 1.0, 18.0: 1.0, 22.0: 1.0, 19.0: 1.0}"
0.873,"{796136.0: 1.0, 1.0: 174368.0, 2.0: 6601.0, 4.0: 1922.0, 9.0: 179.0, 3.0: 1392.0, 6.0: 85.0, 7.0: 34.0, 5.0: 161.0, 8.0: 23.0, 11.0: 9.0, 24.0: 1.0, 13.0: 7.0, 23.0: 1.0, 15.0: 4.0, 33.0: 1.0, 18.0: 2.0, 42.0: 1.0, 10.0: 9.0, 54.0: 1.0, 17.0: 2.0, 21.0: 2.0, 12.0: 6.0, 16.0: 2.0, 19.0: 1.0, 86.0: 1.0, 32.0: 2.0, 14.0: 3.0, 51.0: 1.0, 20.0: 1.0, 29.0: 1.0, 39.0: 1.0}"
0.873,"{797915.0: 1.0, 1.0: 173027.0, 2.0: 6552.0, 19.0: 3.0, 7.0: 27.0, 4.0: 1921.0, 9.0: 175.0, 3.0: 1338.0, 5.0: 169.0, 10.0: 7.0, 8.0: 17.0, 6.0: 75.0, 29.0: 1.0, 12.0: 7.0, 14.0: 1.0, 43.0: 1.0, 23.0: 2.0, 15.0: 5.0, 42.0: 2.0, 28.0: 1.0, 25.0: 1.0, 62.0: 1.0, 26.0: 3.0, 24.0: 3.0, 17.0: 2.0, 18.0: 1.0, 11.0: 4.0, 45.0: 1.0, 33.0: 1.0, 21.0: 1.0, 68.0: 1.0, 31.0: 1.0}"
0.873,"{816415.0: 1.0, 1.0: 156760.0, 2.0: 5825.0, 4.0: 1919.0, 3.0: 1137.0, 6.0: 65.0, 9.0: 204.0, 5.0: 139.0, 8.0: 18.0, 12.0: 7.0, 7.0: 36.0, 10.0: 7.0, 16.0: 2.0, 15.0: 4.0, 11.0: 3.0, 26.0: 1.0, 18.0: 1.0, 28.0: 1.0, 49.0: 1.0, 19.0: 1.0, 43.0: 1.0, 24.0: 1.0, 31.0: 3.0, 14.0: 1.0, 22.0: 2.0, 33.0: 1.0, 17.0: 1.0, 23.0: 1.0, 13.0: 1.0, 48.0: 1.0}"
0.873,"{818795.0: 1.0, 1.0: 154323.0, 4.0: 1898.0, 3.0: 1139.0, 2.0: 5901.0, 9.0: 192.0, 5.0: 114.0, 7.0: 29.0, 8.0: 20.0, 6.0: 53.0, 14.0: 3.0, 15.0: 4.0, 19.0: 1.0, 46.0: 2.0, 11.0: 6.0, 31.0: 1.0, 149.0: 1.0, 47.0: 2.0, 10.0: 4.0, 13.0: 3.0, 12.0: 3.0, 22.0: 3.0, 57.0: 1.0, 93.0: 1.0, 28.0: 1.0, 54.0: 1.0, 18.0: 1.0, 34.0: 1.0, 53.0: 1.0, 21.0: 1.0}"
0.873,"{816093.0: 1.0, 1.0: 156927.0, 2.0: 5946.0, 4.0: 1887.0, 9.0: 204.0, 3.0: 1131.0, 5.0: 168.0, 7.0: 40.0, 11.0: 5.0, 6.0: 44.0, 14.0: 1.0, 42.0: 1.0, 29.0: 2.0, 8.0: 19.0, 18.0: 3.0, 10.0: 5.0, 20.0: 2.0, 13.0: 3.0, 31.0: 3.0, 12.0: 3.0, 25.0: 2.0, 57.0: 1.0, 66.0: 1.0, 30.0: 2.0, 22.0: 1.0, 23.0: 1.0, 16.0: 1.0}"
0.873,"{819071.0: 1.0, 1.0: 154198.0, 4.0: 1874.0, 2.0: 5827.0, 3.0: 1138.0, 9.0: 203.0, 6.0: 65.0, 5.0: 143.0, 7.0: 22.0, 8.0: 12.0, 15.0: 2.0, 48.0: 2.0, 10.0: 6.0, 18.0: 2.0, 149.0: 1.0, 20.0: 1.0, 11.0: 2.0, 16.0: 3.0, 64.0: 1.0, 17.0: 3.0, 93.0: 1.0, 32.0: 1.0, 60.0: 1.0, 55.0: 1.0, 37.0: 1.0, 13.0: 1.0, 24.0: 1.0, 39.0: 1.0, 21.0: 1.0, 35.0: 1.0}"
0.873,"{798068.0: 1.0, 1.0: 172981.0, 2.0: 6569.0, 18.0: 5.0, 4.0: 1933.0, 9.0: 176.0, 5.0: 172.0, 3.0: 1286.0, 7.0: 36.0, 10.0: 9.0, 6.0: 70.0, 29.0: 1.0, 13.0: 4.0, 39.0: 1.0, 21.0: 2.0, 70.0: 1.0, 26.0: 1.0, 8.0: 16.0, 24.0: 2.0, 17.0: 1.0, 14.0: 1.0, 62.0: 1.0, 12.0: 2.0, 19.0: 1.0, 11.0: 4.0, 22.0: 1.0, 28.0: 1.0, 41.0: 1.0, 35.0: 1.0, 38.0: 1.0, 73.0: 1.0, 42.0: 1.0, 34.0: 1.0}"
0.873,"{815995.0: 1.0, 1.0: 157090.0, 2.0: 5955.0, 4.0: 1918.0, 3.0: 1152.0, 5.0: 147.0, 9.0: 202.0, 10.0: 3.0, 6.0: 67.0, 38.0: 1.0, 8.0: 13.0, 7.0: 27.0, 32.0: 2.0, 12.0: 3.0, 11.0: 4.0, 16.0: 4.0, 27.0: 1.0, 26.0: 1.0, 18.0: 1.0, 28.0: 1.0, 54.0: 1.0, 33.0: 1.0, 15.0: 1.0, 30.0: 1.0, 39.0: 1.0, 37.0: 1.0, 25.0: 1.0, 21.0: 1.0}"
0.873,"{819541.0: 1.0, 1.0: 153979.0, 4.0: 1847.0, 2.0: 5933.0, 3.0: 1102.0, 9.0: 203.0, 5.0: 121.0, 11.0: 1.0, 6.0: 52.0, 8.0: 10.0, 7.0: 31.0, 53.0: 1.0, 139.0: 1.0, 20.0: 3.0, 17.0: 2.0, 18.0: 1.0, 33.0: 1.0, 16.0: 2.0, 10.0: 4.0, 70.0: 1.0, 89.0: 1.0, 13.0: 3.0, 30.0: 1.0, 46.0: 1.0, 55.0: 1.0, 38.0: 1.0, 14.0: 1.0, 27.0: 1.0, 15.0: 1.0, 36.0: 1.0}"
0.873,"{818280.0: 1.0, 1.0: 154530.0, 4.0: 1900.0, 3.0: 1164.0, 14.0: 3.0, 2.0: 5931.0, 9.0: 197.0, 5.0: 143.0, 7.0: 28.0, 6.0: 58.0, 10.0: 6.0, 8.0: 23.0, 16.0: 2.0, 27.0: 1.0, 45.0: 1.0, 144.0: 1.0, 44.0: 3.0, 11.0: 5.0, 15.0: 2.0, 23.0: 2.0, 19.0: 1.0, 43.0: 1.0, 12.0: 3.0, 51.0: 1.0, 17.0: 2.0, 95.0: 1.0, 22.0: 1.0, 38.0: 1.0, 20.0: 2.0, 29.0: 1.0}"
0.873,"{815531.0: 1.0, 11.0: 6.0, 1.0: 157297.0, 2.0: 5983.0, 5.0: 152.0, 4.0: 1898.0, 3.0: 1168.0, 9.0: 202.0, 10.0: 12.0, 8.0: 17.0, 6.0: 66.0, 33.0: 2.0, 32.0: 1.0, 7.0: 28.0, 12.0: 2.0, 13.0: 4.0, 26.0: 3.0, 15.0: 2.0, 36.0: 1.0, 25.0: 2.0, 16.0: 1.0, 39.0: 1.0, 50.0: 1.0, 17.0: 1.0, 29.0: 1.0, 37.0: 1.0, 40.0: 1.0, 22.0: 1.0}"
0.873,"{820211.0: 1.0, 1.0: 153584.0, 4.0: 1825.0, 7.0: 32.0, 2.0: 5857.0, 9.0: 193.0, 3.0: 1139.0, 5.0: 142.0, 6.0: 55.0, 56.0: 1.0, 8.0: 14.0, 134.0: 1.0, 10.0: 7.0, 23.0: 1.0, 13.0: 2.0, 18.0: 2.0, 101.0: 1.0, 15.0: 2.0, 35.0: 1.0, 11.0: 1.0, 37.0: 1.0, 22.0: 2.0, 12.0: 2.0, 34.0: 1.0}"
0.873,"{815576.0: 1.0, 1.0: 157442.0, 4.0: 1895.0, 2.0: 5941.0, 3.0: 1202.0, 5.0: 146.0, 9.0: 205.0, 6.0: 63.0, 7.0: 31.0, 32.0: 3.0, 12.0: 2.0, 8.0: 19.0, 17.0: 2.0, 11.0: 3.0, 13.0: 3.0, 15.0: 2.0, 25.0: 2.0, 10.0: 3.0, 35.0: 2.0, 26.0: 1.0, 22.0: 2.0, 18.0: 1.0, 38.0: 1.0, 19.0: 1.0, 14.0: 1.0, 27.0: 1.0}"
0.873,"{820424.0: 1.0, 1.0: 153439.0, 4.0: 1860.0, 2.0: 5744.0, 15.0: 3.0, 5.0: 154.0, 9.0: 200.0, 6.0: 54.0, 3.0: 1116.0, 7.0: 22.0, 58.0: 1.0, 10.0: 6.0, 130.0: 1.0, 8.0: 11.0, 24.0: 1.0, 12.0: 2.0, 21.0: 1.0, 11.0: 4.0, 23.0: 2.0, 79.0: 1.0, 14.0: 1.0, 16.0: 1.0, 13.0: 2.0, 108.0: 1.0, 30.0: 1.0}"
0.873,"{815228.0: 1.0, 6.0: 64.0, 1.0: 157633.0, 5.0: 172.0, 2.0: 5951.0, 4.0: 1936.0, 3.0: 1135.0, 9.0: 200.0, 8.0: 17.0, 7.0: 35.0, 26.0: 3.0, 10.0: 7.0, 32.0: 2.0, 24.0: 1.0, 14.0: 3.0, 11.0: 3.0, 23.0: 1.0, 20.0: 2.0, 17.0: 1.0, 33.0: 1.0, 27.0: 2.0, 13.0: 1.0, 12.0: 3.0, 21.0: 2.0, 35.0: 1.0, 18.0: 1.0, 41.0: 1.0}"
0.873,"{798224.0: 1.0, 1.0: 173097.0, 2.0: 6485.0, 12.0: 4.0, 4.0: 1926.0, 9.0: 177.0, 5.0: 154.0, 3.0: 1281.0, 8.0: 23.0, 7.0: 28.0, 6.0: 72.0, 38.0: 1.0, 13.0: 4.0, 28.0: 1.0, 37.0: 1.0, 17.0: 2.0, 82.0: 1.0, 27.0: 1.0, 70.0: 1.0, 16.0: 2.0, 11.0: 2.0, 19.0: 3.0, 15.0: 2.0, 10.0: 5.0, 57.0: 1.0, 20.0: 1.0, 14.0: 4.0, 39.0: 1.0, 42.0: 1.0, 66.0: 1.0, 48.0: 1.0, 34.0: 1.0, 18.0: 1.0}"
0.873,"{820770.0: 1.0, 1.0: 153313.0, 4.0: 1846.0, 2.0: 5719.0, 3.0: 1153.0, 13.0: 3.0, 9.0: 198.0, 5.0: 130.0, 7.0: 19.0, 6.0: 60.0, 8.0: 18.0, 10.0: 5.0, 19.0: 2.0, 11.0: 2.0, 23.0: 1.0, 24.0: 1.0, 73.0: 1.0, 12.0: 3.0, 21.0: 2.0, 32.0: 1.0, 50.0: 1.0, 31.0: 1.0, 92.0: 1.0, 15.0: 1.0}"
0.873,"{815140.0: 1.0, 1.0: 157850.0, 6.0: 58.0, 4.0: 1904.0, 2.0: 5854.0, 3.0: 1153.0, 9.0: 197.0, 10.0: 6.0, 5.0: 204.0, 7.0: 36.0, 8.0: 23.0, 13.0: 1.0, 23.0: 2.0, 32.0: 1.0, 19.0: 3.0, 11.0: 4.0, 34.0: 2.0, 27.0: 3.0, 25.0: 1.0, 20.0: 1.0, 30.0: 1.0, 12.0: 4.0, 47.0: 1.0, 17.0: 1.0, 41.0: 1.0, 21.0: 1.0}"
0.873,"{815034.0: 1.0, 1.0: 157975.0, 4.0: 1911.0, 2.0: 5868.0, 5.0: 161.0, 3.0: 1156.0, 9.0: 200.0, 7.0: 41.0, 25.0: 2.0, 10.0: 4.0, 6.0: 70.0, 11.0: 4.0, 8.0: 14.0, 20.0: 1.0, 32.0: 2.0, 13.0: 1.0, 19.0: 4.0, 15.0: 4.0, 12.0: 3.0, 30.0: 2.0, 18.0: 3.0, 31.0: 1.0, 14.0: 1.0, 28.0: 1.0, 40.0: 1.0, 21.0: 1.0, 16.0: 2.0, 36.0: 1.0}"
0.873,"{798289.0: 1.0, 1.0: 172836.0, 2.0: 6569.0, 11.0: 4.0, 4.0: 1910.0, 9.0: 174.0, 5.0: 158.0, 3.0: 1293.0, 8.0: 27.0, 6.0: 65.0, 13.0: 7.0, 31.0: 2.0, 18.0: 2.0, 7.0: 37.0, 10.0: 10.0, 38.0: 1.0, 17.0: 2.0, 12.0: 3.0, 71.0: 1.0, 28.0: 1.0, 20.0: 3.0, 68.0: 1.0, 15.0: 1.0, 22.0: 1.0, 19.0: 1.0, 57.0: 1.0, 16.0: 2.0, 40.0: 1.0, 66.0: 1.0, 44.0: 1.0, 34.0: 1.0}"
0.873,"{821179.0: 1.0, 1.0: 153202.0, 4.0: 1873.0, 2.0: 5644.0, 11.0: 9.0, 3.0: 1083.0, 9.0: 199.0, 5.0: 140.0, 6.0: 59.0, 8.0: 14.0, 7.0: 27.0, 10.0: 5.0, 15.0: 1.0, 21.0: 1.0, 19.0: 1.0, 14.0: 3.0, 12.0: 1.0, 26.0: 1.0, 24.0: 1.0, 52.0: 1.0, 33.0: 1.0, 18.0: 1.0, 17.0: 1.0, 16.0: 1.0}"
0.873,"{805533.0: 1.0, 2.0: 6324.0, 1.0: 166325.0, 3.0: 1207.0, 4.0: 1925.0, 9.0: 190.0, 8.0: 19.0, 6.0: 68.0, 5.0: 150.0, 83.0: 2.0, 10.0: 9.0, 19.0: 2.0, 16.0: 4.0, 26.0: 2.0, 27.0: 1.0, 7.0: 35.0, 21.0: 2.0, 18.0: 1.0, 11.0: 4.0, 13.0: 4.0, 48.0: 2.0, 24.0: 2.0, 14.0: 2.0, 12.0: 1.0, 71.0: 1.0, 40.0: 1.0, 20.0: 1.0}"
0.873,"{818347.0: 1.0, 1.0: 154824.0, 4.0: 1893.0, 3.0: 1168.0, 16.0: 2.0, 2.0: 5851.0, 5.0: 129.0, 9.0: 199.0, 6.0: 64.0, 7.0: 35.0, 12.0: 5.0, 14.0: 2.0, 40.0: 2.0, 11.0: 1.0, 8.0: 16.0, 10.0: 8.0, 42.0: 3.0, 36.0: 1.0, 20.0: 3.0, 17.0: 1.0, 13.0: 4.0, 28.0: 1.0, 101.0: 1.0, 19.0: 1.0, 29.0: 1.0, 23.0: 1.0, 21.0: 1.0, 55.0: 1.0}"
0.873,"{817038.0: 1.0, 3.0: 1211.0, 1.0: 155972.0, 40.0: 1.0, 4.0: 1876.0, 2.0: 5923.0, 9.0: 212.0, 11.0: 2.0, 5.0: 153.0, 10.0: 11.0, 6.0: 43.0, 8.0: 20.0, 7.0: 32.0, 54.0: 1.0, 12.0: 7.0, 128.0: 1.0, 14.0: 2.0, 23.0: 1.0, 13.0: 1.0, 21.0: 1.0, 32.0: 1.0, 26.0: 1.0, 51.0: 1.0, 36.0: 1.0, 24.0: 1.0}"
0.873,"{817557.0: 1.0, 1.0: 155776.0, 4.0: 1895.0, 2.0: 5919.0, 3.0: 1131.0, 9.0: 190.0, 6.0: 63.0, 8.0: 17.0, 13.0: 5.0, 5.0: 139.0, 11.0: 4.0, 7.0: 24.0, 14.0: 2.0, 12.0: 4.0, 30.0: 1.0, 48.0: 1.0, 10.0: 6.0, 15.0: 2.0, 17.0: 1.0, 29.0: 1.0, 123.0: 1.0, 46.0: 1.0, 62.0: 1.0, 27.0: 1.0, 60.0: 1.0, 20.0: 1.0, 32.0: 1.0}"
0.873,"{817442.0: 1.0, 2.0: 5820.0, 1.0: 155896.0, 4.0: 1889.0, 3.0: 1195.0, 5.0: 155.0, 9.0: 207.0, 6.0: 69.0, 8.0: 18.0, 7.0: 32.0, 10.0: 7.0, 37.0: 1.0, 15.0: 3.0, 12.0: 2.0, 20.0: 1.0, 11.0: 3.0, 16.0: 1.0, 21.0: 1.0, 25.0: 1.0, 13.0: 4.0, 32.0: 1.0, 51.0: 1.0, 35.0: 1.0}"
0.873,"{817817.0: 1.0, 1.0: 155651.0, 4.0: 1892.0, 2.0: 5838.0, 9.0: 204.0, 3.0: 1151.0, 6.0: 53.0, 5.0: 132.0, 8.0: 12.0, 7.0: 24.0, 13.0: 3.0, 20.0: 2.0, 18.0: 1.0, 12.0: 5.0, 11.0: 5.0, 31.0: 2.0, 28.0: 1.0, 10.0: 5.0, 16.0: 1.0, 17.0: 2.0, 30.0: 1.0, 125.0: 1.0, 25.0: 1.0, 41.0: 1.0, 14.0: 2.0, 34.0: 1.0, 24.0: 1.0, 33.0: 1.0, 15.0: 1.0}"
0.873,"{796386.0: 1.0, 1.0: 174058.0, 2.0: 6614.0, 4.0: 1951.0, 9.0: 178.0, 3.0: 1344.0, 6.0: 71.0, 8.0: 18.0, 7.0: 35.0, 5.0: 179.0, 21.0: 3.0, 24.0: 4.0, 15.0: 8.0, 10.0: 14.0, 38.0: 2.0, 11.0: 6.0, 12.0: 5.0, 55.0: 1.0, 32.0: 2.0, 13.0: 3.0, 20.0: 3.0, 18.0: 2.0, 95.0: 1.0, 14.0: 2.0, 52.0: 1.0, 17.0: 2.0, 33.0: 1.0, 40.0: 1.0, 23.0: 1.0}"
0.873,"{817639.0: 1.0, 1.0: 156000.0, 2.0: 5757.0, 4.0: 1893.0, 3.0: 1163.0, 7.0: 38.0, 9.0: 210.0, 5.0: 138.0, 6.0: 63.0, 10.0: 9.0, 20.0: 2.0, 8.0: 16.0, 46.0: 1.0, 11.0: 6.0, 14.0: 2.0, 23.0: 1.0, 12.0: 1.0, 15.0: 2.0, 13.0: 1.0, 17.0: 1.0, 19.0: 1.0, 34.0: 1.0, 16.0: 1.0}"
0.873,"{817842.0: 1.0, 1.0: 155531.0, 4.0: 1898.0, 2.0: 5833.0, 3.0: 1119.0, 9.0: 201.0, 11.0: 4.0, 5.0: 122.0, 6.0: 60.0, 7.0: 39.0, 8.0: 18.0, 10.0: 10.0, 16.0: 1.0, 20.0: 3.0, 33.0: 2.0, 27.0: 1.0, 13.0: 3.0, 12.0: 5.0, 14.0: 4.0, 18.0: 2.0, 29.0: 1.0, 31.0: 1.0, 135.0: 1.0, 25.0: 1.0, 21.0: 1.0, 34.0: 1.0, 22.0: 1.0, 15.0: 1.0}"
0.873,"{817537.0: 1.0, 1.0: 155953.0, 2.0: 5833.0, 4.0: 1898.0, 3.0: 1159.0, 5.0: 137.0, 10.0: 9.0, 9.0: 215.0, 6.0: 56.0, 11.0: 2.0, 7.0: 30.0, 14.0: 2.0, 8.0: 18.0, 23.0: 1.0, 13.0: 3.0, 47.0: 1.0, 20.0: 1.0, 16.0: 3.0, 24.0: 1.0, 12.0: 4.0, 17.0: 1.0, 25.0: 1.0, 34.0: 1.0}"
0.873,"{816811.0: 1.0, 1.0: 156453.0, 2.0: 5769.0, 4.0: 1953.0, 3.0: 1138.0, 5.0: 140.0, 9.0: 201.0, 6.0: 54.0, 12.0: 3.0, 13.0: 1.0, 37.0: 1.0, 8.0: 23.0, 7.0: 31.0, 10.0: 6.0, 11.0: 5.0, 18.0: 1.0, 30.0: 1.0, 14.0: 1.0, 16.0: 2.0, 31.0: 3.0, 46.0: 1.0, 22.0: 1.0, 44.0: 1.0, 21.0: 1.0, 20.0: 2.0, 35.0: 1.0, 15.0: 2.0, 23.0: 1.0, 27.0: 1.0, 17.0: 1.0, 45.0: 1.0}"
0.873,"{796872.0: 1.0, 1.0: 173787.0, 4.0: 1946.0, 2.0: 6557.0, 9.0: 175.0, 5.0: 198.0, 7.0: 42.0, 3.0: 1301.0, 11.0: 7.0, 8.0: 21.0, 6.0: 70.0, 27.0: 1.0, 25.0: 3.0, 15.0: 3.0, 46.0: 1.0, 34.0: 1.0, 36.0: 1.0, 10.0: 13.0, 13.0: 2.0, 55.0: 1.0, 14.0: 1.0, 12.0: 4.0, 19.0: 3.0, 26.0: 2.0, 18.0: 1.0, 22.0: 1.0, 16.0: 1.0, 17.0: 3.0, 21.0: 2.0, 30.0: 1.0, 51.0: 1.0, 24.0: 1.0, 76.0: 1.0, 41.0: 1.0}"
0.873,"{817521.0: 1.0, 1.0: 155960.0, 2.0: 5847.0, 4.0: 1882.0, 3.0: 1172.0, 10.0: 5.0, 9.0: 206.0, 5.0: 132.0, 7.0: 35.0, 6.0: 53.0, 12.0: 3.0, 20.0: 1.0, 8.0: 22.0, 45.0: 1.0, 14.0: 2.0, 22.0: 2.0, 19.0: 2.0, 43.0: 1.0, 13.0: 2.0, 17.0: 3.0, 15.0: 2.0, 23.0: 2.0, 32.0: 1.0, 18.0: 1.0, 21.0: 1.0}"
0.873,"{818357.0: 1.0, 1.0: 154989.0, 4.0: 1912.0, 2.0: 5853.0, 9.0: 198.0, 3.0: 1162.0, 7.0: 26.0, 5.0: 142.0, 6.0: 46.0, 8.0: 21.0, 22.0: 2.0, 28.0: 1.0, 21.0: 2.0, 44.0: 1.0, 14.0: 3.0, 17.0: 3.0, 11.0: 5.0, 15.0: 3.0, 13.0: 1.0, 10.0: 4.0, 16.0: 2.0, 36.0: 1.0, 35.0: 1.0, 116.0: 1.0, 25.0: 1.0, 30.0: 1.0, 18.0: 1.0}"
0.873,"{817223.0: 1.0, 1.0: 156087.0, 2.0: 5864.0, 4.0: 1886.0, 5.0: 136.0, 3.0: 1202.0, 9.0: 210.0, 6.0: 65.0, 7.0: 34.0, 8.0: 9.0, 12.0: 3.0, 18.0: 2.0, 39.0: 1.0, 11.0: 4.0, 25.0: 2.0, 17.0: 2.0, 45.0: 1.0, 21.0: 1.0, 47.0: 1.0, 29.0: 1.0, 14.0: 1.0, 19.0: 3.0, 10.0: 3.0, 28.0: 1.0, 32.0: 1.0}"
0.873,"{797311.0: 1.0, 1.0: 173331.0, 2.0: 6636.0, 18.0: 3.0, 4.0: 1942.0, 9.0: 171.0, 5.0: 177.0, 6.0: 87.0, 3.0: 1331.0, 7.0: 37.0, 27.0: 2.0, 28.0: 1.0, 17.0: 1.0, 11.0: 5.0, 46.0: 2.0, 26.0: 1.0, 14.0: 4.0, 23.0: 2.0, 12.0: 5.0, 64.0: 1.0, 29.0: 1.0, 8.0: 16.0, 13.0: 3.0, 21.0: 2.0, 10.0: 6.0, 22.0: 1.0, 43.0: 1.0, 19.0: 2.0, 47.0: 1.0, 24.0: 2.0, 15.0: 2.0, 42.0: 1.0}"
0.873,"{817199.0: 1.0, 1.0: 155903.0, 2.0: 5785.0, 4.0: 1937.0, 3.0: 1189.0, 6.0: 51.0, 9.0: 206.0, 5.0: 153.0, 7.0: 41.0, 11.0: 3.0, 10.0: 4.0, 13.0: 5.0, 8.0: 16.0, 32.0: 2.0, 12.0: 2.0, 38.0: 1.0, 47.0: 1.0, 18.0: 3.0, 35.0: 1.0, 46.0: 1.0, 27.0: 1.0, 23.0: 1.0, 21.0: 2.0, 14.0: 1.0, 25.0: 2.0, 17.0: 1.0, 54.0: 1.0}"
0.873,"{818292.0: 1.0, 1.0: 154679.0, 4.0: 1900.0, 2.0: 5890.0, 5.0: 129.0, 3.0: 1187.0, 9.0: 199.0, 7.0: 26.0, 13.0: 6.0, 6.0: 56.0, 38.0: 2.0, 8.0: 26.0, 23.0: 1.0, 14.0: 4.0, 42.0: 1.0, 17.0: 2.0, 12.0: 2.0, 44.0: 2.0, 11.0: 5.0, 10.0: 9.0, 19.0: 1.0, 31.0: 1.0, 15.0: 1.0, 20.0: 2.0, 104.0: 1.0, 21.0: 1.0, 26.0: 1.0, 30.0: 1.0, 16.0: 1.0, 40.0: 1.0, 18.0: 1.0}"
0.873,"{797671.0: 1.0, 1.0: 173088.0, 2.0: 6587.0, 19.0: 3.0, 3.0: 1318.0, 4.0: 1941.0, 9.0: 176.0, 6.0: 84.0, 5.0: 184.0, 11.0: 5.0, 7.0: 27.0, 28.0: 1.0, 15.0: 3.0, 8.0: 25.0, 46.0: 2.0, 25.0: 2.0, 22.0: 4.0, 43.0: 1.0, 29.0: 1.0, 23.0: 3.0, 12.0: 4.0, 61.0: 1.0, 27.0: 1.0, 18.0: 1.0, 10.0: 9.0, 14.0: 1.0, 26.0: 1.0, 41.0: 1.0, 34.0: 1.0, 24.0: 1.0, 13.0: 1.0}"
0.873,"{817079.0: 1.0, 1.0: 156208.0, 2.0: 5754.0, 7.0: 31.0, 4.0: 1915.0, 3.0: 1186.0, 9.0: 210.0, 5.0: 149.0, 11.0: 6.0, 6.0: 52.0, 10.0: 6.0, 12.0: 3.0, 18.0: 3.0, 14.0: 2.0, 8.0: 11.0, 32.0: 2.0, 16.0: 1.0, 35.0: 1.0, 46.0: 1.0, 25.0: 1.0, 37.0: 1.0, 26.0: 1.0, 19.0: 1.0, 29.0: 1.0, 20.0: 1.0, 21.0: 1.0, 22.0: 1.0, 52.0: 1.0, 13.0: 1.0, 49.0: 1.0, 17.0: 1.0}"
0.873,"{818242.0: 1.0, 1.0: 155352.0, 4.0: 1876.0, 2.0: 5803.0, 9.0: 194.0, 3.0: 1165.0, 6.0: 60.0, 5.0: 133.0, 7.0: 35.0, 10.0: 5.0, 20.0: 3.0, 8.0: 14.0, 25.0: 3.0, 11.0: 11.0, 13.0: 4.0, 18.0: 2.0, 15.0: 2.0, 32.0: 2.0, 119.0: 1.0, 12.0: 3.0, 16.0: 1.0, 14.0: 1.0}"
0.873,"{815899.0: 1.0, 1.0: 156900.0, 4.0: 1874.0, 2.0: 6024.0, 3.0: 1187.0, 6.0: 49.0, 5.0: 139.0, 8.0: 11.0, 7.0: 25.0, 9.0: 193.0, 10.0: 5.0, 19.0: 2.0, 28.0: 2.0, 50.0: 1.0, 16.0: 3.0, 12.0: 3.0, 26.0: 2.0, 11.0: 4.0, 67.0: 1.0, 17.0: 1.0, 13.0: 3.0, 24.0: 2.0, 45.0: 1.0, 100.0: 1.0, 20.0: 2.0, 29.0: 1.0, 14.0: 1.0, 15.0: 1.0, 83.0: 1.0, 68.0: 1.0, 59.0: 1.0, 65.0: 1.0, 21.0: 1.0, 23.0: 1.0}"
0.873,"{815275.0: 1.0, 1.0: 157235.0, 2.0: 5907.0, 4.0: 1938.0, 3.0: 1217.0, 8.0: 21.0, 28.0: 1.0, 24.0: 3.0, 9.0: 202.0, 5.0: 143.0, 7.0: 35.0, 6.0: 71.0, 12.0: 7.0, 30.0: 1.0, 32.0: 2.0, 10.0: 7.0, 11.0: 5.0, 113.0: 1.0, 15.0: 2.0, 37.0: 1.0, 25.0: 1.0, 41.0: 1.0, 13.0: 2.0, 19.0: 1.0, 21.0: 1.0, 100.0: 1.0, 34.0: 1.0, 23.0: 1.0, 29.0: 1.0}"
0.873,"{815381.0: 1.0, 1.0: 157345.0, 2.0: 5939.0, 4.0: 1929.0, 5.0: 144.0, 3.0: 1131.0, 13.0: 3.0, 6.0: 65.0, 9.0: 195.0, 8.0: 23.0, 7.0: 36.0, 27.0: 2.0, 10.0: 13.0, 32.0: 1.0, 16.0: 2.0, 12.0: 3.0, 15.0: 1.0, 137.0: 1.0, 23.0: 1.0, 11.0: 8.0, 63.0: 1.0, 34.0: 1.0, 37.0: 1.0, 22.0: 3.0, 95.0: 1.0, 18.0: 1.0, 25.0: 1.0, 17.0: 1.0, 31.0: 1.0, 14.0: 1.0}"
0.873,"{817218.0: 1.0, 1.0: 155581.0, 8.0: 25.0, 4.0: 1880.0, 2.0: 5903.0, 6.0: 51.0, 9.0: 208.0, 3.0: 1168.0, 5.0: 150.0, 49.0: 1.0, 7.0: 23.0, 10.0: 8.0, 13.0: 5.0, 23.0: 1.0, 16.0: 2.0, 28.0: 1.0, 32.0: 1.0, 25.0: 1.0, 11.0: 9.0, 20.0: 2.0, 14.0: 6.0, 12.0: 4.0, 15.0: 4.0, 33.0: 1.0, 41.0: 1.0, 59.0: 1.0, 62.0: 1.0, 65.0: 1.0, 56.0: 1.0, 18.0: 1.0, 61.0: 1.0, 22.0: 1.0}"
