selected_lambda,box_size,avg_count,group
0.83,519.0,0.0736,0
0.83,543.0,0.0472,0
0.83,462.0,0.0968,0
0.83,535.0,0.0536,0
0.83,230.0,0.9472,0
0.83,265.0,0.6432,0
0.83,538.0,0.048,0
0.83,373.0,0.224,0
0.83,490.0,0.0856,0
0.83,409.0,0.1508,0
0.83,569.0,0.046,0
0.83,263.0,0.6752,0
0.83,329.0,0.3296,0
0.83,241.0,0.8348,0
0.83,551.0,0.0404,0
0.83,205.0,1.3368,0
0.83,616.0,0.026,0
0.83,827.0,0.0048,0
0.83,172.0,1.9496,0
0.83,338.0,0.3092,0
0.83,203.0,1.3128,0
0.83,176.0,1.8296,0
0.83,443.0,0.1196,0
0.83,215.0,1.126,0
0.83,216.0,1.1344,0
0.83,231.0,0.9556,0
0.83,400.0,0.1844,0
0.83,438.0,0.128,0
0.83,227.0,0.9948,0
0.83,675.0,0.0216,0
0.83,295.0,0.4932,0
0.83,213.0,1.1324,0
0.83,477.0,0.092,0
0.83,309.0,0.4096,0
0.83,368.0,0.2452,0
0.83,362.0,0.2288,0
0.83,274.0,0.5876,0
0.83,292.0,0.4956,0
0.83,450.0,0.112,0
0.83,386.0,0.2116,0
0.83,348.0,0.2856,0
0.83,288.0,0.5336,0
0.83,278.0,0.5564,0
0.83,369.0,0.2164,0
0.83,180.0,1.7404,0
0.83,314.0,0.3688,0
0.83,232.0,0.9764,0
0.83,518.0,0.0572,0
0.83,234.0,0.9172,0
0.83,514.0,0.0684,0
0.83,512.0,0.062,0
0.83,532.0,0.0488,0
0.83,229.0,0.9832,0
0.83,678.0,0.0176,0
0.83,374.0,0.2132,0
0.83,394.0,0.1992,0
0.83,264.0,0.6596,0
0.83,343.0,0.2992,0
0.83,778.0,0.0068,0
0.83,335.0,0.302,0
0.83,287.0,0.518,0
0.83,414.0,0.1476,0
0.83,620.0,0.03,0
0.83,161.0,2.2168,0
0.83,800.0,0.0092,0
0.83,340.0,0.2996,0
0.83,328.0,0.3456,0
0.83,442.0,0.1272,0
0.83,275.0,0.5968,0
0.83,676.0,0.0184,0
0.83,166.0,2.0632,0
0.83,447.0,0.1112,0
0.83,358.0,0.2584,0
0.83,304.0,0.4368,0
0.83,284.0,0.5264,0
0.83,465.0,0.0972,0
0.83,294.0,0.4788,0
0.83,259.0,0.69,0
0.83,387.0,0.2184,0
0.83,313.0,0.4056,0
0.83,182.0,1.6752,0
